config_id,routing_strategy,scheduler,time_step_s,offered_load_factor,deadline_factor,backhaul_factor,minimum_elevation_deg,rf_efficiency_factor,item_id,delivered,deadline_met,latency_s,failure_reason
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.25,1.0,0.5,10.0,0.75,archive-001,True,True,544.6371093933263,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.25,1.0,0.5,10.0,0.75,telemetry-001,True,True,518.1607164444779,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.25,1.0,0.5,10.0,0.75,waveform-001,False,False,,DEADLINE_INFEASIBLE
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.25,1.0,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.25,1.5,0.5,10.0,0.75,archive-001,True,True,544.6371093933263,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.25,1.5,0.5,10.0,0.75,telemetry-001,True,True,518.1607164444779,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.25,1.5,0.5,10.0,0.75,waveform-001,True,False,6202.830440572603,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.25,1.5,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.25,1.5,0.5,10.0,0.75,archive-001,True,True,544.6371093933263,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.25,1.5,0.5,10.0,0.75,telemetry-001,True,True,518.1607164444779,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.25,1.5,0.5,10.0,0.75,waveform-001,True,False,6202.830440572603,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.25,1.5,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.25,1.5,0.5,10.0,0.75,archive-001,True,True,544.6371093933263,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.25,1.5,0.5,10.0,0.75,telemetry-001,True,True,518.1607164444779,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.25,1.5,0.5,10.0,0.75,waveform-001,False,False,,DEADLINE_INFEASIBLE
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.25,1.5,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,0.75,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,0.75,1.5,10.0,0.75,telemetry-001,True,True,463.84905993753,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,0.75,1.5,10.0,0.75,waveform-001,True,True,435.38818891095946,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,0.75,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,0.75,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,0.75,1.5,10.0,0.75,telemetry-001,True,True,411.1346565738996,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,0.75,1.5,10.0,0.75,waveform-001,True,True,443.9617315191043,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,0.75,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,0.75,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,0.75,1.5,10.0,0.75,telemetry-001,True,True,411.1346565738996,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,0.75,1.5,10.0,0.75,waveform-001,True,True,443.9617315191043,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,0.75,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,1.0,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,1.0,1.5,10.0,0.75,telemetry-001,True,True,463.84905993753,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,1.0,1.5,10.0,0.75,waveform-001,True,True,435.38818891095946,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,1.0,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,1.0,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,1.0,1.5,10.0,0.75,telemetry-001,True,True,411.1346565738996,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,1.0,1.5,10.0,0.75,waveform-001,True,True,443.9617315191043,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,1.0,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,1.0,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,1.0,1.5,10.0,0.75,telemetry-001,True,True,411.1346565738996,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,1.0,1.5,10.0,0.75,waveform-001,True,True,443.9617315191043,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,1.0,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,1.5,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,1.5,1.5,10.0,0.75,telemetry-001,True,True,463.84905993753,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,1.5,1.5,10.0,0.75,waveform-001,True,True,435.38818891095946,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,0.75,1.5,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,1.5,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,1.5,1.5,10.0,0.75,telemetry-001,True,True,411.1346565738996,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,1.5,1.5,10.0,0.75,waveform-001,True,True,443.9617315191043,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,0.75,1.5,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,1.5,1.5,10.0,0.75,archive-001,True,True,501.8763583731704,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,1.5,1.5,10.0,0.75,telemetry-001,True,True,411.1346565738996,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,1.5,1.5,10.0,0.75,waveform-001,True,True,443.9617315191043,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,0.75,1.5,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,0.75,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,0.75,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,0.75,1.5,10.0,0.75,waveform-001,True,False,6334.558175353722,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,0.75,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,0.75,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,0.75,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,0.75,1.5,10.0,0.75,waveform-001,True,False,6294.43375696077,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,0.75,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,0.75,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,0.75,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,0.75,1.5,10.0,0.75,waveform-001,False,False,,DEADLINE_INFEASIBLE
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,0.75,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.0,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.0,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.0,1.5,10.0,0.75,waveform-001,True,False,6334.558175353722,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.0,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.0,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.0,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.0,1.5,10.0,0.75,waveform-001,True,False,6294.43375696077,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.0,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.0,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.0,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.0,1.5,10.0,0.75,waveform-001,False,False,,DEADLINE_INFEASIBLE
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.0,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.5,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.5,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.5,1.5,10.0,0.75,waveform-001,True,False,6334.558175353722,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.5,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.5,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.5,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.5,1.5,10.0,0.75,waveform-001,True,False,6294.43375696077,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.5,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.5,1.5,10.0,0.75,archive-001,True,True,539.5565130221382,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.5,1.5,10.0,0.75,telemetry-001,True,True,454.57044780597994,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.5,1.5,10.0,0.75,waveform-001,False,False,,DEADLINE_INFEASIBLE
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.5,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.25,0.75,1.5,10.0,0.75,archive-001,True,True,589.6371093933263,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.25,0.75,1.5,10.0,0.75,telemetry-001,True,True,523.1607164444779,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.25,0.75,1.5,10.0,0.75,waveform-001,True,False,6382.830440572603,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.25,0.75,1.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.25,0.75,1.5,10.0,0.75,archive-001,True,True,589.6371093933263,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.25,0.75,1.5,10.0,0.75,telemetry-001,True,True,523.1607164444779,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.25,0.75,1.5,10.0,0.75,waveform-001,True,False,6382.830440572603,
