baseline,candidate,config_id,scheduler,time_step_s,offered_load_factor,deadline_factor,backhaul_factor,minimum_elevation_deg,rf_efficiency_factor,deadline_delta_pp,delivery_delta_pp,common_latency_delta_s
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,0.75,0.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,1.0,0.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,1.5,0.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,0.75,0.5,20.0,0.75,0.0,-25.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,1.0,0.5,20.0,0.75,0.0,-25.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,1.5,0.5,20.0,0.75,0.0,-25.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,0.75,0.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,1.0,0.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,1.5,0.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,0.75,1.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,1.0,1.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,1.5,1.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,0.75,1.5,20.0,0.75,0.0,-25.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,1.0,1.5,20.0,0.75,0.0,-25.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,1.5,1.5,20.0,0.75,0.0,-25.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,0.75,1.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,1.0,1.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,1.5,1.5,20.0,0.75,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,0.75,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,1.0,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,1.5,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,0.75,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,1.0,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,1.5,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,0.75,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,1.0,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,1.5,0.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,0.75,1.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,1.0,1.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,0.75,1.5,1.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,0.75,1.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,1.0,1.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.0,1.5,1.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,0.75,1.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,1.0,1.5,20.0,1.25,0.0,0.0,0.0
earliest-arrival,deadline-aware,canonical-contact-plan-routing-v1.1,edf,1.0,1.25,1.5,1.5,20.0,1.25,0.0,0.0,0.0
